player_id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts
josh-allen,Josh Allen,QB,,5,8,4750,41,7,520,5.0,,,,2,
jalen-hurts,Jalen Hurts,QB,,6,18,4653,39,7,489,4.7,,,,2,
lamar-jackson,Lamar Jackson,QB,,7,28,4557,38,8,459,4.5,,,,2,
jayden-daniels,Jayden Daniels,QB,,8,38,4460,36,8,428,4.2,,,,2,
patrick-mahomes,Patrick Mahomes,QB,,9,48,4363,35,9,397,3.9,,,,3,
joe-burrow,Joe Burrow,QB,,10,58,4267,33,9,367,3.7,,,,3,
cj-stroud,C.J. Stroud,QB,,11,68,4170,31,9,336,3.4,,,,3,
justin-herbert,Justin Herbert,QB,,12,78,4073,30,10,305,3.1,,,,3,
dak-prescott,Dak Prescott,QB,,14,82,3977,28,10,275,2.9,,,,3,
jordan-love,Jordan Love,QB,,5,84,3880,27,11,244,2.6,,,,3,
kyler-murray,Kyler Murray,QB,,6,86,3783,25,11,213,2.3,,,,3,
brock-purdy,Brock Purdy,QB,,7,88,3687,23,11,183,2.1,,,,3,
caleb-williams,Caleb Williams,QB,,8,90,3590,22,12,152,1.8,,,,4,
bo-nix,Bo Nix,QB,,9,92,3493,20,12,121,1.5,,,,4,
trevor-lawrence,Trevor Lawrence,QB,,10,94,3397,19,13,91,1.3,,,,4,
anthony-richardson,Anthony Richardson,QB,,11,95,3300,17,13,60,1.0,,,,4,
bijan-robinson,Bijan Robinson,RB,,5,1,,,,1425,12.0,62,520,3.0,1,
saquon-barkley,Saquon Barkley,RB,,6,4,,,,1395,11.7,61,507,2.9,1,
jahmyr-gibbs,Jahmyr Gibbs,RB,,7,7,,,,1364,11.4,59,494,2.8,1,
christian-mccaffrey,Christian McCaffrey,RB,,8,10,,,,1334,11.1,58,480,2.7,1,
ashton-jeanty,Ashton Jeanty,RB,,9,11,,,,1303,10.8,56,467,2.6,1,
devon-achane,De'Von Achane,RB,,10,14,,,,1273,10.5,55,454,2.5,1,
derrick-henry,Derrick Henry,RB,,11,17,,,,1242,10.3,53,441,2.4,1,
josh-jacobs,Josh Jacobs,RB,,12,20,,,,1212,10.0,52,427,2.3,1,
jonathan-taylor,Jonathan Taylor,RB,,14,21,,,,1181,9.7,51,414,2.2,1,
bucky-irving,Bucky Irving,RB,,5,24,,,,1151,9.4,49,401,2.1,1,
kyren-williams,Kyren Williams,RB,,6,27,,,,1120,9.1,48,388,2.0,1,
chase-brown,Chase Brown,RB,,7,30,,,,1090,8.8,46,375,1.9,1,
james-cook,James Cook,RB,,8,31,,,,1059,8.5,45,361,1.8,1,
breece-hall,Breece Hall,RB,,9,34,,,,1029,8.2,44,348,1.7,1,
kenneth-walker,Kenneth Walker,RB,,10,37,,,,998,7.9,42,335,1.6,1,
alvin-kamara,Alvin Kamara,RB,,11,40,,,,968,7.6,41,322,1.5,1,
joe-mixon,Joe Mixon,RB,,12,41,,,,937,7.4,39,308,1.5,2,
chuba-hubbard,Chuba Hubbard,RB,,14,44,,,,907,7.1,38,295,1.4,2,
james-conner,James Conner,RB,,5,47,,,,876,6.8,36,282,1.3,2,
david-montgomery,David Montgomery,RB,,6,50,,,,846,6.5,35,269,1.2,2,
aaron-jones,Aaron Jones,RB,,7,51,,,,815,6.2,34,255,1.1,2,
dandre-swift,D'Andre Swift,RB,,8,54,,,,785,5.9,32,242,1.0,2,
tony-pollard,Tony Pollard,RB,,9,57,,,,754,5.6,31,229,0.9,2,
isiah-pacheco,Isiah Pacheco,RB,,10,60,,,,724,5.3,29,216,0.8,2,
rhamondre-stevenson,Rhamondre Stevenson,RB,,11,61,,,,693,5.0,28,203,0.7,2,
zamir-white,Zamir White,RB,,12,64,,,,663,4.7,27,189,0.6,2,
brian-robinson,Brian Robinson,RB,,14,67,,,,632,4.5,25,176,0.5,2,
najee-harris,Najee Harris,RB,,5,70,,,,602,4.2,24,163,0.4,2,
rachaad-white,Rachaad White,RB,,6,71,,,,571,3.9,22,150,0.3,2,
jaylen-warren,Jaylen Warren,RB,,7,74,,,,541,3.6,21,136,0.2,2,
tyjae-spears,Tyjae Spears,RB,,8,77,,,,510,3.3,19,123,0.1,2,
javonte-williams,Javonte Williams,RB,,9,80,,,,480,3.0,18,110,0.0,2,
jamarr-chase,Ja'Marr Chase,WR,,5,2,,,,60,,104,1480,11.0,,
justin-jefferson,Justin Jefferson,WR,,6,3,,,,58,,102,1452,10.7,,
ceedee-lamb,CeeDee Lamb,WR,,7,6,,,,56,,100,1424,10.5,,
amon-ra-st-brown,Amon-Ra St. Brown,WR,,8,9,,,,54,,98,1396,10.2,,
puka-nacua,Puka Nacua,WR,,9,12,,,,52,,96,1368,10.0,,
malik-nabers,Malik Nabers,WR,,10,13,,,,50,,94,1340,9.7,,
nico-collins,Nico Collins,WR,,11,16,,,,48,,92,1312,9.5,,
brian-thomas-jr,Brian Thomas Jr.,WR,,12,19,,,,46,,90,1284,9.2,,
aj-brown,A.J. Brown,WR,,14,22,,,,45,,89,1255,8.9,,
drake-london,Drake London,WR,,5,23,,,,43,,87,1227,8.7,,
ladd-mcconkey,Ladd McConkey,WR,,6,26,,,,41,,85,1199,8.4,,
jaylen-waddle,Jaylen Waddle,WR,,7,29,,,,39,,83,1171,8.2,,
tee-higgins,Tee Higgins,WR,,8,32,,,,37,,81,1143,7.9,,
davante-adams,Davante Adams,WR,,9,33,,,,35,,79,1115,7.6,,
mike-evans,Mike Evans,WR,,10,36,,,,33,,77,1087,7.4,,
terry-mclaurin,Terry McLaurin,WR,,11,39,,,,31,,75,1059,7.1,,
